--------------------SEM BIOMETRIA------------------------------------------------------------------------------------
Binário    Decimal  Forma de Entrada sem BIOMETRIA
10000000   128      Leitores 1 e 2 Desabilitados, Teclado Desabilitado 
10000001   129      Leitores 1 e 2 Desabilitados, Teclado Habilitado   
10000010   130      Leitor 1 Desabilitado, Leitor 2 Só Entrada, Teclado Desabilitado
10000011   131      Leitor 1 Desabilitado, Leitor 2 Só Entrada, Teclado Habilitado
10000100   132      Leitor 1 Desabilitado, Leitor 2 Só Saída, Teclado Desabilitado
10000101   133      Leitor 1 Desabilitado, Leitor 2 Só Saída, Teclado Habilitado
10000110   134      Leitor 1 Desabilitado, Leitor 2 Entrada e Saída, Teclado Desabilitado
10000111   135      Leitor 1 Desabilitado, Leitor 2 Entrada e Saída, Teclado Habilitado
10001000   136      Leitor 1 Desabilitado, Leitor 2 Entrada e Saída Invertido, Teclado Desabilitado
10001001   137      Leitor 1 Desabilitado, Leitor 2 Entrada e Saída Invertido, Teclado Habilitado
10010000   144      Leitor 1 Só Entrada, Leitor 2 Desabilitado, Teclado Desabilitado
10010001   145      Leitor 1 Só Entrada, Leitor 2 Desabilitado, Teclado Habilitado
10010010   146      Leitor 1 Só Entrada, Leitor 2 Só Entrada, Teclado Desabilitado
10010011   147      Leitor 1 Só Entrada, Leitor 2 Só Entrada, Teclado Habilitado
10010100   148      Leitor 1 Só Entrada, Leitor 2 Só Saída, Teclado Desabilitado
10010101   149      Leitor 1 Só Entrada, Leitor 2 Só Saída, Teclado Habilitado
10010110   150      Leitor 1 Só Entrada, Leitor 2 Entrada e Saída, Teclado Desabilitado
10010111   151      Leitor 1 Só Entrada, Leitor 2 Entrada e Saída, Teclado Habilitado
10011000   152      Leitor 1 Só Entrada, Leitor 2 Entrada e Saída Invertidos, Teclado Desabilitado
10011001   153      Leitor 1 Só Entrada, Leitor 2 Entrada e Saída Invertidos, Teclado Habilitado
10100000   160      Leitor 1 Só Saída, Leitor 2 Desabilitado, Teclado Desabilitado
